"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAC11",3.63576106513014e-28,0.891689434807359,0.866,0.392,7.35369033033223e-24,"5","RAC1"
"NAPSB1",4.0747708682653e-28,1.61959716071833,0.389,0.09,8.2416315581534e-24,"5","NAPSB"
"VSTM1",4.32259744157914e-28,1.71263023833126,0.274,0.048,8.74288558533796e-24,"5","VSTM1"
"ITGB21",6.48707994698718e-28,1.05869819765543,0.879,0.411,1.31207679007763e-23,"5","ITGB2"
"HOTAIRM1",6.83547620076712e-28,2.05550053988424,0.268,0.046,1.38254341636716e-23,"5","HOTAIRM1"
"RNF13",1.15467226945833e-27,1.48435591507332,0.439,0.11,2.33544013220643e-23,"5","RNF13"
"HLA-DRA2",1.35405469241847e-27,0.469693283771915,0.968,0.417,2.73871102088559e-23,"5","HLA-DRA"
"NANS",1.35678288314734e-27,1.26915457146509,0.414,0.098,2.7442290594538e-23,"5","NANS"
"CTSZ1",1.64432705089007e-27,2.00390579011249,0.395,0.094,3.32581589313025e-23,"5","CTSZ"
"CD300A",1.73538053423322e-27,1.51572597134143,0.408,0.099,3.50998066854011e-23,"5","CD300A"
"PRKCD",2.234289026944e-27,1.63888972019898,0.255,0.043,4.51907298589693e-23,"5","PRKCD"
"RPS191",2.71073413083803e-27,0.507725056864397,1,0.989,5.482730853033e-23,"5","RPS19"
"RILPL21",8.70851089492465e-27,1.07605753001529,0.682,0.257,1.76138341360746e-22,"5","RILPL2"
"MNDA1",9.65231341166256e-27,1.51102077308951,0.395,0.095,1.95227691064287e-22,"5","MNDA"
"ITPK1",1.00806517212667e-26,2.21382322966632,0.274,0.05,2.0389126171434e-22,"5","ITPK1"
"SULF2",1.44994851648499e-26,1.36663558352071,0.287,0.055,2.93266586944255e-22,"5","SULF2"
"DENND10",2.54720908561159e-26,1.6581936871434,0.331,0.071,5.151985096558e-22,"5","DENND10"
"NCKAP1L",4.220149019655e-26,1.42763548246496,0.42,0.107,8.53567340715421e-22,"5","NCKAP1L"
"TUBA1B",5.52638256050726e-26,1.4464578617211,0.783,0.367,1.1177661366882e-21,"5","TUBA1B"
"EIF4E21",6.61958407641771e-26,1.91575961872275,0.471,0.132,1.33887707529625e-21,"5","EIF4E2"
"CTBP2",7.74970311971243e-26,2.03073612228871,0.255,0.046,1.56745495299304e-21,"5","CTBP2"
"HLA-DRB62",9.00314938146904e-26,1.19417880003635,0.548,0.168,1.82097699389593e-21,"5","HLA-DRB6"
"LRRFIP11",1.56486438200704e-25,0.990759906138768,0.866,0.451,3.16509469904744e-21,"5","LRRFIP1"
"NAPRT",1.69858287134099e-25,1.35349899673461,0.382,0.094,3.43555371557429e-21,"5","NAPRT"
"IFIT3",1.94722525771293e-25,1.37220051057532,0.344,0.079,3.93845780625018e-21,"5","IFIT3"
"NAP1L11",2.63663025301178e-25,0.944979512110658,0.885,0.526,5.33284834974163e-21,"5","NAP1L1"
"PCGF5",2.83350040573887e-25,1.30543342519985,0.452,0.122,5.73103792064744e-21,"5","PCGF5"
"TNFSF131",3.06836755207835e-25,1.63288983756999,0.306,0.065,6.20608021083368e-21,"5","TNFSF13"
"MYO1G",3.28303279297678e-25,1.72036600995296,0.58,0.192,6.64026212707484e-21,"5","MYO1G"
"PPCDC",3.56467020580836e-25,2.07362532927467,0.255,0.046,7.20990195826799e-21,"5","PPCDC"
"SH3BGRL31",3.60068716547462e-25,0.70031634107565,0.987,0.829,7.28274986088897e-21,"5","SH3BGRL3"
"SH3BP1",3.88461178647912e-25,2.33447937372471,0.331,0.075,7.85701579933268e-21,"5","SH3BP1"
"NEDD9",4.16441645675236e-25,1.19409904688062,0.49,0.14,8.42294872542732e-21,"5","NEDD9"
"RAP1GAP21",4.75674946143855e-25,1.20404528247228,0.618,0.225,9.62100146070561e-21,"5","RAP1GAP2"
"CMTM6",4.86961745294607e-25,1.61167265320714,0.516,0.16,9.84928826032871e-21,"5","CMTM6"
"NAGK1",6.30740905692006e-25,1.51979145216556,0.382,0.095,1.27573655585265e-20,"5","NAGK"
"TENT5A",6.45370446661145e-25,1.79670712643283,0.28,0.055,1.30532626541683e-20,"5","TENT5A"
"IFIT1",6.504732972871e-25,1.18293276162725,0.28,0.055,1.31564729109289e-20,"5","IFIT1"
"CX3CR1",6.72743868979476e-25,1.680783042824,0.268,0.051,1.36069174939789e-20,"5","CX3CR1"
"H2AZ1",7.20002159397126e-25,0.948811551971221,0.803,0.359,1.45627636759663e-20,"5","H2AZ1"
"ALOX5",7.73589546791295e-25,1.19296366734427,0.382,0.092,1.56466221734007e-20,"5","ALOX5"
"NACA",9.18454345016124e-25,0.744680450601648,0.994,0.957,1.85766575822961e-20,"5","NACA"
